counter_name,counter_id,latitude,longitude,machine_codes,user_type
Archibald Park,100040974,-36.89265291812123,174.671125846449,Y2H21055973,"Pedestrian, Bike"
Beach Road,100017404,-36.849384,174.77441,Y2H18117099,Bike
Carlton Gore Road,100015328,-36.86433,174.77254,Y2G14076121,Bike
Curran Street,300016909,-36.83941852681556,174.73935428661505,"YAH19101182, U15G5118789","Pedestrian, Bike"
Dominion Road,300016914,-36.87038051367212,174.7528760368953,"Y2H17062384, Y2H17062385",Bike
East Coast Road,100005391,-36.74177,174.7413,U15G2072490,Bike
Franklin Road,100048230,-36.85267,174.74749,"Y2H18106611, Y2H18106612",Bike
Glenn Innes to Tamaki Drive Section 1,100030348,-36.87365967940067,174.85075257259635,Y2H18034818,"Pedestrian, Bike"
Grafton Bridge,100006234,-36.860126,174.76648,Y2H15108597,Bike
Grafton Gully,100015330,-36.85532,174.76896,YUG14076131,"Pedestrian, Bike"
Grafton Road,300016992,-36.85407,174.7708,"Y2H18096407, CTX19070177, CTX19070176","Pedestrian, Bike"
Great North Road,100038500,-36.86475,174.74533,"Y2H16049603, Y2H18117100",Bike
Great South Road Manukau,300016907,-36.987118104556565,174.8818316495363,"X2H17082924, Y2H18117101",Bike
Highbrook Drive,100056077,-36.95042000834917,174.85946061874677,Y2H19090927,Bike
Hopetoun Street,100026333,-36.8560934089796,174.757511475445,Y2H15108595,Bike
Karangahape Road,300015993,-36.858195557373335,174.75637922367775,"CTX19070180, CTX19070179","Pedestrian, Bike, Car"
Lagoon Drive,100006544,-36.90749804899736,174.85748638306697,Y2G12072493,Bike
Lake Road,100036548,-36.80265,174.78749,"U15G7011464, Y2H15108592",Bike
Lake Road Northcote,100050007,-36.80105,174.74455,Y2H19017510,Bike
Leigh Road,100041334,-36.35201,174.7185,Y2H17103430,"Pedestrian, Bike"
Lightpath 1,100033614,-36.8595,174.75861,Y2H17113781,"Pedestrian, Bike"
Lightpath 2,100036715,-36.853470965827,174.7575753902196,Y2H19070349,Bike
Mangere Bridge,100003721,-36.93235,174.78625,Y2H17103359,"Pedestrian, Bike"
Mangere Safe Routes,100030503,-36.97232,174.79953,Y2H17052126,"Pedestrian, Bike"
Nelson Street,100025309,-36.849887120956,174.759000235558,Y2H19090924,Bike
Nw Cycleway Kingsland,100000387,-36.86918,174.74402,YAH21056048,"Pedestrian, Bike"
Nw Cycleway Teatatu,100000474,-36.858467,174.65372,T60G6039315,Bike
Ocean View Road,100041970,-36.78373905910639,175.01152357837262,X2H17113758,Bike
Orewa Path,100000386,-36.59635,174.69415,YAH19101036,"Pedestrian, Bike"
Ormiston Road,100041394,-36.96518,174.90931,"Y2H17103456, Y2H17103457",Bike
Quay Street Eco Display Classic,100041314,-36.84288,174.76483,Y2H21015041,Bike
Quay Street Spark Arena,100049870,-36.84649,174.77784,"Y2H15108591, Y2H15108596",Bike
Queen Street Pukekohe,100041396,-37.20363,174.90097,Y2H17103445,Bike
Rankin Avenue (Survey Closed),100043526,-36.912050439921074,174.68213990820456,YAH18117103,"Pedestrian, Bike"
SH1 Karaka,300017616,-37.060916033714186,174.92353225529985,YAH20073242,"Pedestrian, Bike"
SH18 Upper Harbour Drive,100015822,-36.78231,174.67536,Y2H17124004,"Pedestrian, Bike"
SH20A,100046740,-36.97781,174.78648,YAH21035496,"Pedestrian, Bike, Car"
SH20B,300020695,-36.9996651534812,174.82601796867306,CTX21040293,"Pedestrian, Bike"
SW SH20,100004935,-36.91207,174.74008,YTH21056120,"Pedestrian, Bike"
Saint Lukes Road,300016903,-36.87115544625142,174.7257461753134,"Y2H17031805, Y2H17031806",Bike
Symonds Street,300016905,-36.859773636594255,174.76270145337028,"Y2G14076165, Y2G14076119",Bike
Tamaki Drive Wb (Survey Closed),100003810,-36.847942,174.78903,T60G2113055,Bike
Teatatu Peninsula,100045733,-36.84989,174.65138,Y2H18065542,Bike
Twin Streams,100000385,-36.878807,174.62413,X0H16059831,"Pedestrian, Bike"
Upper Queen Street,100026336,-36.85928,174.76064,X2H21035429,Bike
Victoria Street West,100063391,-36.84805,174.75366,"Y2H20073440, Y2H18117102",Bike
Waterview Unitec,100038150,-36.88277,174.70468,Y2H17052296,"Pedestrian, Bike"
Westhaven Drive,100061187,-36.84339230123253,174.7536153920819,CTX19100217,"Pedestrian, Bike, Car"
